Date,Open,High,Low,Close,Adj Close,Volume
18/08/2020,16984.0918,17100.15234,16525.4707,16522.98438,16522.98438,35885536360
19/08/2020,16522.50391,16587.04297,16259.51074,16363.21582,16363.21582,34098976209
20/08/2020,16367.69141,16542.16602,16330.17481,16483.88867,16483.88867,27997648665
21/08/2020,16483.41016,16499.25195,16151.75391,16190.17481,16190.17481,33186818012
22/08/2020,16180.38184,16325.53125,15989.50586,16314.94238,16314.94238,28245287596
23/08/2020,16311.96875,16364.68066,16144.69043,16293.96094,16293.96094,25816539849
24/08/2020,16292.34277,16409.06641,16233.08984,16424.08984,16424.08984,28848123709
25/08/2020,16422.68555,16403.74414,15566.90723,15785.85645,15785.85645,36528852069
26/08/2020,15786.91211,15934.78711,15689.97656,15856.95117,15856.95117,31009878387
27/08/2020,15853.14844,15927.39551,15411.24121,15577.98242,15577.98242,31972629194
28/08/2020,15580.59375,15671.01367,15573.95508,15666.78516,15666.78516,26884471767
29/08/2020,15664.82324,15725.34082,15563.34863,15618.41797,15618.41797,23733429151
30/08/2020,15620.92676,15915.42188,15598.75879,15887.99316,15887.99316,26806866212
31/08/2020,15890.43555,15971.49512,15778.09766,15833.93652,15833.93652,30209690040
1/09/2020,15831.89746,16362.60059,15704.70313,16221.91406,16221.91406,37011527339
2/09/2020,16214.24902,16214.24902,15430.43945,15571.67578,15571.67578,38250226441
3/09/2020,15562.33984,15607.80273,14033.16797,14126.37891,14126.37891,44021819068
4/09/2020,14105.79102,14646.36133,14107.39356,14429.78809,14429.78809,41133763732
5/09/2020,14430.77051,14525.54492,13654.00977,13959.97852,13959.97852,61657912424
6/09/2020,13956.75195,14215.70508,13805.29785,14120.10449,14120.10449,50917798835
7/09/2020,14120.99121,14284.27734,13618.74609,14245.70703,14245.70703,46301316595
8/09/2020,14245.35352,14478.52637,13733.25195,14054.85547,14054.85547,46376753244
9/09/2020,14058.51074,14225.78613,13865.50781,14072.34082,14072.34082,33150754163
10/09/2020,14072.31641,14364.60449,14066.55371,14271.74219,14271.74219,74926594958
11/09/2020,14279.85254,14328.47363,13938.32617,14280.10254,14280.10254,62059603359
12/09/2020,14292.38672,14524.38477,14131.09668,14336.74512,14336.74512,50456606663
13/09/2020,14350.78809,14522.15723,14036.30762,14180.71094,14180.71094,50145812991
14/09/2020,14187.54883,14789.37305,14114.16016,14661.10449,14661.10449,48665536517
15/09/2020,14656.87402,14920.90625,14560.56152,14796.42188,14796.42188,44551798164
16/09/2020,14797.53418,15143.42188,14672.01856,15041.83106,15041.83106,42172297255
17/09/2020,15039.56641,15178.91504,14793.96289,14971.64844,14971.64844,52168785709
18/09/2020,14975.51856,15097.69629,14826.32031,15010.88281,15010.88281,36128843182
19/09/2020,14996.02441,15270.79785,14962.92383,15216.28418,15216.28418,31221902544
20/09/2020,15218.37402,15218.37402,14832.43359,14998.83106,14998.83106,33868604506
21/09/2020,14994.24316,15011.65039,14412.62891,14473.68848,14473.68848,39960056769
22/09/2020,14470.04297,14742.60449,14440.13965,14689.49707,14689.49707,32926268289
23/09/2020,14690.88574,14906.77344,14402.22656,14474.6084,14474.6084,32537492105
24/09/2020,14476.89551,15263.17285,14446.00586,15231.23535,15231.23535,32626115384
25/09/2020,15233.96191,15304.7002,15069.76856,15230.7832,15230.7832,30216742324
26/09/2020,15230.70703,15339.23828,15202.02344,15304.99512,15304.99512,25765840225
27/09/2020,15302.86328,15376.57129,15147.05664,15304.67481,15304.67481,25592311720
28/09/2020,15300.71875,15480.31934,15103.88086,15113.5332,15113.5332,32028217477
29/09/2020,15101.03809,15201.99414,14972.48047,15182.79688,15182.79688,28633322145
30/09/2020,15178.0127,15189.15137,15016.43262,15056.19238,15056.19238,28974038362
1/10/2020,15052.55371,15180.74023,14633.52148,14793.25293,14793.25293,37846361689
2/10/2020,14794.72852,14892.59082,14617.13574,14775.49121,14775.49121,32283410731
3/10/2020,14773.59668,14815.87109,14695.66797,14748.03418,14748.03418,23860981976
4/10/2020,14751.42188,14934.66602,14700.36523,14893.95508,14893.95508,24460001043
5/10/2020,14898.98047,15019.22559,14848.89258,15019.22559,15019.22559,26948401874
6/10/2020,15013.35547,15020.55273,14868.00098,14940.27246,14940.27246,31317556914
7/10/2020,14937.65723,14967.32715,14878.22461,14965.40039,14965.40039,24712267785
8/10/2020,14963.28223,15280.55859,14757.98926,15224.25,15224.25,30608586078
9/10/2020,null,null,null,null,null,null
10/10/2020,15272.32227,15801.32715,15269.28125,15599.91406,15599.91406,31593756334
11/10/2020,15599.52734,15782.82617,15589.2334,15757.3584,15757.3584,27639475302
12/10/2020,null,null,null,null,null,null
13/10/2020,null,null,null,null,null,null
14/10/2020,15952.66504,16061.31836,15790.29981,16005.35547,16005.35547,33753330020
15/10/2020,16001.28906,16315.89258,15976.26465,16218.15625,16218.15625,34547690323
16/10/2020,16228.70801,16300.45313,15860.11523,15989.44141,15989.44141,36203195010
17/10/2020,15989.44141,16080.02051,15937.50391,16040.25195,16040.25195,27016567404
18/10/2020,16037.25879,16189.71094,16025.39063,16189.71094,16189.71094,25776566173
19/10/2020,16206.17578,16642.78516,16095.94531,16645.98242,16645.98242,33825981880
20/10/2020,16651.56445,16978.88867,16590.06055,16905.00195,16905.00195,43858452059
21/10/2020,16900.38086,18527.9668,16868.37695,18050.33008,18050.33008,61109550954
22/10/2020,18019.28711,18485.45898,17930.28711,18192.63672,18192.63672,48729846638
23/10/2020,18200.57422,18223.5957,17913.54102,18113.94336,18113.94336,40586899060
24/10/2020,18113.99219,18413.04492,18049.79883,18361.21094,18361.21094,34377823651
25/10/2020,18361.21094,18670.94727,18083.85938,18273.08203,18273.08203,34224824039
26/10/2020,18273.11914,18588.56641,18026.08984,18371.88672,18371.88672,41395971000
27/10/2020,18371.87891,19335.69141,18343.79102,19168.93945,19168.93945,47380913945
28/10/2020,19168.93359,19395.74414,18345.04492,18811.68945,18811.68945,50840956116
29/10/2020,18811.70703,19407.92188,18449.7793,19094.58789,19094.58789,80283076953
30/10/2020,19094.57422,19424.46875,18722.66992,19272.33984,19272.33984,43507606202
31/10/2020,19272.35352,19957.63281,19145.73242,19605.91797,19605.91797,43116340613
1/11/2020,19605.91797,19721.21094,19388.79297,19603.57031,19603.57031,34896926824
2/11/2020,19603.45898,19699.60156,18808.63672,19212.37109,19212.37109,43628877335
3/11/2020,19212.31641,19425.6582,18899.06055,19383.41211,19383.41211,41503162714
4/11/2020,19383.67188,19795.70703,19174.13281,19682.91211,19682.91211,48903822406
5/11/2020,19682.94922,21624.18555,19640.88281,21455.25781,21455.25781,56263893954
6/11/2020,21455.09375,21903.375,20968.53125,21446.51367,21446.51367,54888180290
